arron,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
62000,0.8416666666666662,0,1.1500000000000021,0,1.0250000000000004,0,1.7200000000000015,0,2.0,0,1.67,0.11999999999999922,0,1.0099999999999945,0,0.8199999999999932,0,1.9000000000000004,2.7849999999999957,0.5199999999999996,0,1.2000000000000028,1.4999999999999982,3.6199999999999974,0,0,1.8750000000000018,0,1.7249999999999979,0,3.228571428571429,0,2.400000000000002,0,0.29999999999999893,4.550000000000001,2.3999999999999986,0,1.1949999999999985,1.17,3.844999999999999
72000,1.0416666666666667,0,0.813333333333329,0,2.225,0,1.7950000000000008,0,2.0249999999999986,0,1.839999999999998,0.0,0,1.0199999999999996,0,0.9200000000000017,0,1.8450000000000006,1.4899999999999984,1.0399999999999991,0,1.2199999999999989,1.9200000000000017,3.068571428571428,1.0500000000000007,0,1.2599999999999885,0,1.4000000000000021,1.1333333333333329,1.5699999999999994,0,2.75,0,0,4.720000000000001,2.2250000000000014,0.17999999999999616,0.7399999999999956,1.9399999999999995,3.849999999999999
83000,0.8416666666666662,0,1.1500000000000021,0,1.0250000000000004,0,1.7200000000000015,0,2.0,0,1.67,0.11999999999999922,0,1.0099999999999945,0,0.8199999999999932,0,1.9000000000000004,2.7849999999999957,0.5199999999999996,0,1.2000000000000028,1.4999999999999982,3.6199999999999974,0,0,1.8750000000000018,0,1.7249999999999979,0,3.228571428571429,0,2.400000000000002,0,0.29999999999999893,4.550000000000001,2.3999999999999986,0,1.1949999999999985,1.17,3.844999999999999
12000,3.875,0,0,0,1.3499999999999996,0,2.2499999999999982,0,2.400000000000002,0,2.1599999999999966,0,0,0.22000000000000242,0,1.0199999999999996,0,1.7950000000000008,2.6600000000000015,0.990000000000002,0,0.899999999999995,2.1499999999999986,2.3142857142857154,0,0,2.1950000000000003,0,2.25,0,1.8599999999999934,0,2.8249999999999993,5.1266666666666625,0,0.6400000000000006,2.1000000000000014,0.6000000000000014,1.3200000000000003,1.3999999999999997,4.01
53000,3.8749999999999964,0,0,0,1.3500000000000014,0,2.250000000000001,0,2.3999999999999986,0,2.1599999999999966,0,0,1.0500000000000025,0,0.899999999999995,0,2.5099999999999936,2.806666666666668,0.7699999999999925,0,0.8000000000000007,2.619999999999999,3.205714285714285,0,0,1.8399999999999999,0.0,2.3500000000000014,0,1.7933333333333294,0,3.0500000000000007,0,0.8399999999999999,1.240000000000002,2.9250000000000007,0,0.47000000000000064,1.8000000000000007,4.285
54000,3.875,0,0,0,1.3499999999999996,0,2.2499999999999982,0,2.400000000000002,0,2.1599999999999966,0,0,0.22000000000000242,0,1.0199999999999996,0,1.7950000000000008,2.6600000000000015,0.990000000000002,0,0.899999999999995,2.1499999999999986,2.3142857142857154,0,0,2.1950000000000003,0,2.25,0,1.8599999999999934,0,2.8249999999999993,5.1266666666666625,0,0.6400000000000006,2.1000000000000014,0.6000000000000014,1.3200000000000003,1.3999999999999997,4.01
92000,2.5083333333333315,0,0.41999999999999993,0,1.5500000000000007,0,1.7650000000000006,0,2.224999999999998,0,2.1599999999999966,0,0,0.9099999999999966,0,1.0399999999999991,0,2.514999999999998,2.964999999999998,1.0199999999999996,0,1.0199999999999996,1.8399999999999999,3.46285714285714,0,0,1.8399999999999987,0.0,1.5000000000000009,0,1.6066666666666656,0,3.099999999999998,0,1.139999999999997,4.340000000000002,2.6249999999999964,0,0.5899999999999981,1.6500000000000004,4.179999999999998
84000,0.8416666666666662,0,1.1500000000000021,0,1.0250000000000004,0,1.7200000000000015,0,2.0,0,1.67,0.11999999999999922,0,1.0099999999999945,0,0.8199999999999932,0,1.9000000000000004,2.7849999999999957,0.5199999999999996,0,1.2000000000000028,1.4999999999999982,3.6199999999999974,0,0,1.8750000000000018,0,1.7249999999999979,0,3.228571428571429,0,2.400000000000002,0,0.29999999999999893,4.550000000000001,2.3999999999999986,0,1.1949999999999985,1.17,3.844999999999999
25000,3.8749999999999964,0,0,0,1.3500000000000014,0,2.250000000000001,0,2.3999999999999986,0,2.1599999999999966,0,0,1.0500000000000025,0,0.899999999999995,0,2.5099999999999936,2.806666666666668,0.7699999999999925,0,0.8000000000000007,2.619999999999999,3.205714285714285,0,0,1.8399999999999999,0.0,2.3500000000000014,0,1.7933333333333294,0,3.0500000000000007,0,0.8399999999999999,1.240000000000002,2.9250000000000007,0,0.47000000000000064,1.8000000000000007,4.285
35000,3.875,0,0,0,1.3499999999999996,0,2.2499999999999982,0,2.400000000000002,0,2.1599999999999966,0,0,0.22000000000000242,0,1.0199999999999996,0,1.7950000000000008,2.6600000000000015,0.990000000000002,0,0.899999999999995,2.1499999999999986,2.3142857142857154,0,0,2.1950000000000003,0,2.25,0,1.8599999999999934,0,2.8249999999999993,5.1266666666666625,0,0.6400000000000006,2.1000000000000014,0.6000000000000014,1.3200000000000003,1.3999999999999997,4.01
93000,3.8749999999999964,0,0,0,1.3500000000000014,0,2.250000000000001,0,2.3999999999999986,0,2.1599999999999966,0,0,1.0500000000000025,0,0.899999999999995,0,2.5099999999999936,2.806666666666668,0.7699999999999925,0,0.8000000000000007,2.619999999999999,3.205714285714285,0,0,1.8399999999999999,0.0,2.3500000000000014,0,1.7933333333333294,0,3.0500000000000007,0,0.8399999999999999,1.240000000000002,2.9250000000000007,0,0.47000000000000064,1.8000000000000007,4.285
36000,3.875,0,0,0,1.3499999999999996,0,2.2499999999999982,0,2.400000000000002,0,2.1599999999999966,0,0,0.22000000000000242,0,1.0199999999999996,0,1.7950000000000008,2.6600000000000015,0.990000000000002,0,0.899999999999995,2.1499999999999986,2.3142857142857154,0,0,2.1950000000000003,0,2.25,0,1.8599999999999934,0,2.8249999999999993,5.1266666666666625,0,0.6400000000000006,2.1000000000000014,0.6000000000000014,1.3200000000000003,1.3999999999999997,4.01
46000,3.875,0,0,0,1.3499999999999996,0,2.2499999999999982,0,2.400000000000002,0,2.1599999999999966,0,0,0.22000000000000242,0,1.0199999999999996,0,1.7950000000000008,2.6600000000000015,0.990000000000002,0,0.899999999999995,2.1499999999999986,2.3142857142857154,0,0,2.1950000000000003,0,2.25,0,1.8599999999999934,0,2.8249999999999993,5.1266666666666625,0,0.6400000000000006,2.1000000000000014,0.6000000000000014,1.3200000000000003,1.3999999999999997,4.01
55000,3.8749999999999964,0,0,0,1.3500000000000014,0,2.250000000000001,0,2.3999999999999986,0,2.1599999999999966,0,0,1.0500000000000025,0,0.899999999999995,0,2.5099999999999936,2.806666666666668,0.7699999999999925,0,0.8000000000000007,2.619999999999999,3.205714285714285,0,0,1.8399999999999999,0.0,2.3500000000000014,0,1.7933333333333294,0,3.0500000000000007,0,0.8399999999999999,1.240000000000002,2.9250000000000007,0,0.47000000000000064,1.8000000000000007,4.285
56000,3.8749999999999964,0,0,0,1.3500000000000014,0,2.250000000000001,0,2.3999999999999986,0,2.1599999999999966,0,0,1.0500000000000025,0,0.899999999999995,0,2.5099999999999936,2.806666666666668,0.7699999999999925,0,0.8000000000000007,2.619999999999999,3.205714285714285,0,0,1.8399999999999999,0.0,2.3500000000000014,0,1.7933333333333294,0,3.0500000000000007,0,0.8399999999999999,1.240000000000002,2.9250000000000007,0,0.47000000000000064,1.8000000000000007,4.285
37000,3.875,0,0,0,1.3499999999999996,0,2.2499999999999982,0,2.400000000000002,0,2.1599999999999966,0,0,0.22000000000000242,0,1.0199999999999996,0,1.7950000000000008,2.6600000000000015,0.990000000000002,0,0.899999999999995,2.1499999999999986,2.3142857142857154,0,0,2.1950000000000003,0,2.25,0,1.8599999999999934,0,2.8249999999999993,5.1266666666666625,0,0.6400000000000006,2.1000000000000014,0.6000000000000014,1.3200000000000003,1.3999999999999997,4.01
73000,0.8416666666666662,0,1.1500000000000021,0,1.0250000000000004,0,1.7200000000000015,0,2.0,0,1.67,0.11999999999999922,0,1.0099999999999945,0,0.8199999999999932,0,1.9000000000000004,2.7849999999999957,0.5199999999999996,0,1.2000000000000028,1.4999999999999982,3.6199999999999974,0,0,1.8750000000000018,0,1.7249999999999979,0,3.228571428571429,0,2.400000000000002,0,0.29999999999999893,4.550000000000001,2.3999999999999986,0,1.1949999999999985,1.17,3.844999999999999
57000,3.8749999999999964,0,0,0,1.3500000000000014,0,2.250000000000001,0,2.3999999999999986,0,2.1599999999999966,0,0,1.0500000000000025,0,0.899999999999995,0,2.5099999999999936,2.806666666666668,0.7699999999999925,0,0.8000000000000007,2.619999999999999,3.205714285714285,0,0,1.8399999999999999,0.0,2.3500000000000014,0,1.7933333333333294,0,3.0500000000000007,0,0.8399999999999999,1.240000000000002,2.9250000000000007,0,0.47000000000000064,1.8000000000000007,4.285
13000,2.6750000000000007,0,0.6500000000000021,0,1.5500000000000007,0,2.2449999999999983,0,2.125,0,2.159999999999993,0,0,1.0599999999999952,0,0.9399999999999977,0,1.7499999999999947,2.4800000000000004,1.4399999999999977,0,1.0599999999999952,2.1700000000000017,2.7666666666666644,0,0,1.686666666666665,0,2.224999999999998,1.2000000000000028,0.9999999999999936,0,3.0249999999999986,0,0,4.409999999999993,2.099999999999998,0.3000000000000007,0.6199999999999992,2.1299999999999937,3.6900000000000004
63000,0.8416666666666662,0,1.1500000000000021,0,1.0250000000000004,0,1.7200000000000015,0,2.0,0,1.67,0.11999999999999922,0,1.0099999999999945,0,0.8199999999999932,0,1.9000000000000004,2.7849999999999957,0.5199999999999996,0,1.2000000000000028,1.4999999999999982,3.6199999999999974,0,0,1.8750000000000018,0,1.7249999999999979,0,3.228571428571429,0,2.400000000000002,0,0.29999999999999893,4.550000000000001,2.3999999999999986,0,1.1949999999999985,1.17,3.844999999999999
38000,3.875,0,0,0,1.3499999999999996,0,2.2499999999999982,0,2.400000000000002,0,2.1599999999999966,0,0,0.22000000000000242,0,1.0199999999999996,0,1.7950000000000008,2.6600000000000015,0.990000000000002,0,0.899999999999995,2.1499999999999986,2.3142857142857154,0,0,2.1950000000000003,0,2.25,0,1.8599999999999934,0,2.8249999999999993,5.1266666666666625,0,0.6400000000000006,2.1000000000000014,0.6000000000000014,1.3200000000000003,1.3999999999999997,4.01
85000,0.8416666666666662,0,1.1500000000000021,0,1.0250000000000004,0,1.7200000000000015,0,2.0,0,1.67,0.11999999999999922,0,1.0099999999999945,0,0.8199999999999932,0,1.9000000000000004,2.7849999999999957,0.5199999999999996,0,1.2000000000000028,1.4999999999999982,3.6199999999999974,0,0,1.8750000000000018,0,1.7249999999999979,0,3.228571428571429,0,2.400000000000002,0,0.29999999999999893,4.550000000000001,2.3999999999999986,0,1.1949999999999985,1.17,3.844999999999999
64000,0.8416666666666662,0,1.1500000000000021,0,1.0250000000000004,0,1.7200000000000015,0,2.0,0,1.67,0.11999999999999922,0,1.0099999999999945,0,0.8199999999999932,0,1.9000000000000004,2.7849999999999957,0.5199999999999996,0,1.2000000000000028,1.4999999999999982,3.6199999999999974,0,0,1.8750000000000018,0,1.7249999999999979,0,3.228571428571429,0,2.400000000000002,0,0.29999999999999893,4.550000000000001,2.3999999999999986,0,1.1949999999999985,1.17,3.844999999999999
33000,3.875,0,0,0,1.3499999999999996,0,2.2499999999999982,0,2.400000000000002,0,2.1599999999999966,0,0,0.22000000000000242,0,1.0199999999999996,0,1.7950000000000008,2.6600000000000015,0.990000000000002,0,0.899999999999995,2.1499999999999986,2.3142857142857154,0,0,2.1950000000000003,0,2.25,0,1.8599999999999934,0,2.8249999999999993,5.1266666666666625,0,0.6400000000000006,2.1000000000000014,0.6000000000000014,1.3200000000000003,1.3999999999999997,4.01
